,0,1,2,3,4,5,6,7,8,record
0,60,Men,Belcher,Christopher,N. Carolina A&T,6.64,6.64,12.0,https://www.tfrrs.org/athletes/5660973/N._Carolina_A&T/Belcher_Christopher,6.47
1,60,Men,Skean,Odean,Auburn,6.60,6.60,9.0,https://www.tfrrs.org/athletes/5636555/Auburn/Skean_Odean,6.47
2,60,Men,Smith,Teray,Auburn,6.71,6.67,40.0,https://www.tfrrs.org/athletes/4674098/Auburn/Smith_Teray,6.47
3,60,Men,Trimble,Jamiel,Air Force,6.70,6.70,49.0,https://www.tfrrs.org/athletes/5156561/Air_Force/Trimble_Jamiel,6.47
4,60,Men,Carnes,Brandon,Northern Iowa,6.59,6.59,3.0,https://www.tfrrs.org/athletes/4637488/Northern_Iowa/Carnes_Brandon,6.47
5,60,Men,Willis,Maxwell,Baylor,6.65,6.65,15.0,https://www.tfrrs.org/athletes/6093183/Baylor/Willis_Maxwell,6.47
6,60,Men,Myers,James,Charlotte,6.74,6.74,67.0,https://www.tfrrs.org/athletes/5588751/Charlotte/Myers_James,6.47
7,60,Men,Hudson,Andrew,Texas Tech,6.68,6.68,29.0,https://www.tfrrs.org/athletes/5639473/Texas_Tech/Hudson_Andrew,6.47
8,60,Men,Bacon,Jaylen,Arkansas State,6.60,6.56,9.0,https://www.tfrrs.org/athletes/5101450/Arkansas_State/Bacon_Jaylen,6.47
9,60,Men,Miller,Jalen,TCU,6.68,6.68,29.0,https://www.tfrrs.org/athletes/5577429/TCU/Miller_Jalen,6.47
10,60,Men,Schulz,Cody,Texas State,6.72,6.72,49.0,https://www.tfrrs.org/athletes/5146459/Texas_State/Schulz_Cody ,6.47
11,60,Men,Haraway,Darryl,Florida State,6.59,6.59,3.0,https://www.tfrrs.org/athletes/5639559/Florida_State/Haraway_Darryl,6.47
12,60,Men,Scott,Rafael,South Alabama,6.59,6.59,3.0,https://www.tfrrs.org/athletes/5109761/South_Alabama/Scott_Rafael,6.47
13,60,Men,Smith,Terrell,Kansas State,6.72,6.70,49.0,https://www.tfrrs.org/athletes/5584375/Kansas_State/Smith_Terrell,6.47
14,60,Men,Lawrence,Hakeem,Akron,6.71,6.71,40.0,https://www.tfrrs.org/athletes/6178030/Akron/Lawrence_Hakeem,6.47
15,60,Men,Morton,Naukym,Northeastern,6.72,6.72,49.0,https://www.tfrrs.org/athletes/6083548/Northeastern/Morton_Naukym,6.47
16,60,Men,Marshall,Deshawn,Ohio State,6.70,6.70,37.0,https://www.tfrrs.org/athletes/5169659/Ohio_State/Marshall_Deshawn,6.47
17,60,Men,Jackson,Donte,LSU,6.64,6.63,20.0,https://www.tfrrs.org/athletes/5638935/LSU/Jackson_Donte,6.47
18,60,Men,Crenshaw,Khoury,Michigan,6.71,6.71,40.0,https://www.tfrrs.org/athletes/4656726/Michigan/Crenshaw_Khoury,6.47
19,60,Men,Larry,Lorenzo,Wisconsin,6.69,6.69,36.0,https://www.tfrrs.org/athletes/5641952/Wisconsin/Larry_Lorenzo,6.47
20,60,Men,Burrell,Cameron,Houston,6.59,6.48,3.0,https://www.tfrrs.org/athletes/4629579/Houston/Burrell_Cameron,6.47
21,60,Men,Chambers,Raheem,Auburn,6.68,6.68,29.0,https://www.tfrrs.org/athletes/6133477/Auburn/Chambers_Raheem,6.47
22,60,Men,Smith,Brian,Kent State,6.73,6.73,57.0,https://www.tfrrs.org/athletes/5600302/Kent_State/Smith_Brian,6.47
23,60,Men,Clark,Ryan,Florida,6.72,6.64,49.0,https://www.tfrrs.org/athletes/5651796/Florida/Clark_Ryan,6.47
24,60,Men,Valentine,Myles,Miami,6.65,6.65,15.0,https://www.tfrrs.org/athletes/5641918/Miami/Valentine_Myles,6.47
25,60,Men,Larkins,Micah,Northwestern St.,6.68,6.68,29.0,https://www.tfrrs.org/athletes/5582328/Northwestern_St./Larkins_Micah,6.47
